Port,Containers,Capacity
Oita Ko,15.29036752,15.29036752
Abaco-Snake Cay,15.1156077,15.1156077
N'Djamena,14,14
Male,13,13
St Helena,11.48,11.48
Mogadishu,10.15,10.15
Marsaxlokk,10.02304696,286900
Ensenada,9.748160176,9.748160176
Gaborone,8.75,8.75
Bimini Island,8.637490112,8.637490112
Ouagadougou,6.13,6.13
Port Rhoades,5.538332931,5.538332931
Exuma,5.39843132,5.39843132
Ulaanbaatar,5,5
Moroni,5,5
Road Harbor,4,1148.9
Nampo,3.56,3.56
Pulau Bukom,3.499384119,3.499384119
Victoria (Seychelles),3,3
Apia,2.326661901,2.326661901
Clarence Town,2.159372528,2.159372528
Puerto Bolivar,"2,296",6020.7
Nuuk,2,2
Canary Island,1.75,1.75
Greatstirrup Cay,1.079686264,1.079686264
Cat Cays,1.079686264,1.079686264
Andros Island,1.079686264,1.079686264
